year,event_name,stroke,gender,distance,meet,school,swimmer_name,round,fastest_time_sec,fastest_time_format
2003,100_Breaststroke,Breaststroke,Men,100,2003_Nescac_Msd_Results,Hamilton,"Morris, Steve",Final,58.84,58.84
2003,100_Breaststroke,Breaststroke,Men,100,2003_Nescac_Msd_Results,Middlebury,"Kinney, Stephen",Prelim,59.81,59.81
2003,100_Breaststroke,Breaststroke,Men,100,2003_Nescac_Msd_Results,Trinity,"Tobin, Mike D",Prelim,68.96000000000001,1:08.96
2003,100_Breaststroke,Breaststroke,Men,100,2003_Nescac_Msd_Results,Tufts,"Lahey, Ryan",Final,60.69,1:00.69
2003,100_Breaststroke,Breaststroke,Men,100,2003_Nescac_Msd_Results,Wesleyan,"Blondin, Nick",Prelim,63.24,1:03.24
2003,100_Breaststroke,Breaststroke,Men,100,2003_Nescac_Msd_Results,Williams,"Loveless, Jon",Prelim,59.5,59.50
2003,100_Butterfly,Butterfly,Men,100,2003_Nescac_Msd_Results,Amherst,"Woo, Bryan",Final,51.08,51.08
2003,100_Butterfly,Butterfly,Men,100,2003_Nescac_Msd_Results,Bates,"Bowden, Adam",Final,52.39,52.39
2003,100_Butterfly,Butterfly,Men,100,2003_Nescac_Msd_Results,Bowdoin,"Burleigh, Roger",Final,52.3,52.30
2003,100_Butterfly,Butterfly,Men,100,2003_Nescac_Msd_Results,Colby,"Shanahan Jr., Kearney",Prelim,54.97,54.97
2003,100_Butterfly,Butterfly,Men,100,2003_Nescac_Msd_Results,Hamilton,"Baker, Jim",Final,55.12,55.12
2003,100_Butterfly,Butterfly,Men,100,2003_Nescac_Msd_Results,Middlebury,"Hawkins, David",Final,51.27,51.27
2003,100_Butterfly,Butterfly,Men,100,2003_Nescac_Msd_Results,Trinity,"Menke, Scott S",Prelim,61.57,1:01.57
2003,100_Butterfly,Butterfly,Men,100,2003_Nescac_Msd_Results,Tufts,"Baker, Brett",Final,52.33,52.33
2003,100_Butterfly,Butterfly,Men,100,2003_Nescac_Msd_Results,Wesleyan,"Tanz, Josh",Prelim,53.44,53.44
2003,100_Butterfly,Butterfly,Men,100,2003_Nescac_Msd_Results,Williams,"Pepe, Nick",Final,50.78,50.78
2003,100_Freestyle,Freestyle,Men,100,2003_Nescac_Msd_Results,Amherst,"Clinton, Chuck",Prelim,47.74,47.74
2003,100_Freestyle,Freestyle,Men,100,2003_Nescac_Msd_Results,Bates,"Bowden, Adam",Final,48.34,48.34
2003,100_Freestyle,Freestyle,Men,100,2003_Nescac_Msd_Results,Bowdoin,"Eisenberg, Yaron",Prelim,63.0,1:03.00
2003,100_Freestyle,Freestyle,Men,100,2003_Nescac_Msd_Results,Colby,"Ireland, Tom",Prelim,47.76,47.76
2003,100_Freestyle,Freestyle,Men,100,2003_Nescac_Msd_Results,Connecticut College,"Landry, Zach",Prelim,50.02,50.02
2003,100_Freestyle,Freestyle,Men,100,2003_Nescac_Msd_Results,Hamilton,"Lawrence, Aran",Final,46.95,46.95
2003,100_Freestyle,Freestyle,Men,100,2003_Nescac_Msd_Results,Middlebury,"Clark, Matt",Final,47.14,47.14
2003,100_Freestyle,Freestyle,Men,100,2003_Nescac_Msd_Results,Trinity,"Hammond, Jesse C",Final,47.99,47.99
2003,100_Freestyle,Freestyle,Men,100,2003_Nescac_Msd_Results,Tufts,"Halpert, Rich",Final,47.12,47.12
2003,100_Freestyle,Freestyle,Men,100,2003_Nescac_Msd_Results,Wesleyan,"McCue, Will",Prelim,48.04,48.04
2003,100_Freestyle,Freestyle,Men,100,2003_Nescac_Msd_Results,Williams,"Brecher, Brad",Prelim,46.84,46.84
2003,200_Backstroke,Backstroke,Men,200,2003_Nescac_Msd_Results,Amherst,"Estacio, Rick",Final,112.35,1:52.35
2003,200_Backstroke,Backstroke,Men,200,2003_Nescac_Msd_Results,Bates,"Legault, Craig",Final,121.86,2:01.86
2003,200_Backstroke,Backstroke,Men,200,2003_Nescac_Msd_Results,Bowdoin,"Boutin, Ryan",Final,130.82,2:10.82
2003,200_Backstroke,Backstroke,Men,200,2003_Nescac_Msd_Results,Colby,"Dubois, Justin",Prelim,119.53,1:59.53
2003,200_Backstroke,Backstroke,Men,200,2003_Nescac_Msd_Results,Hamilton,"Delia, Ben",Prelim,120.75,2:00.75
2003,200_Backstroke,Backstroke,Men,200,2003_Nescac_Msd_Results,Middlebury,"Korsmeyer, Jason",Final,117.02000000000001,1:57.02
2003,200_Backstroke,Backstroke,Men,200,2003_Nescac_Msd_Results,Trinity,"DeRosa, Matt J",Final,120.65,2:00.65
2003,200_Backstroke,Backstroke,Men,200,2003_Nescac_Msd_Results,Tufts,"Godsey, John",Final,114.08,1:54.08
2003,200_Backstroke,Backstroke,Men,200,2003_Nescac_Msd_Results,Wesleyan,"Webster, Zach",Prelim,119.61,1:59.61
2003,200_Backstroke,Backstroke,Men,200,2003_Nescac_Msd_Results,Williams,"Cunningham, Will",Final,111.55,1:51.55
2003,200_Breaststroke,Breaststroke,Men,200,2003_Nescac_Msd_Results,Amherst,"Pohorylo, Mike",Final,124.91,2:04.91&
2003,200_Breaststroke,Breaststroke,Men,200,2003_Nescac_Msd_Results,Bates,"Eggert, Adam",Final,140.21,2:20.21
2003,200_Breaststroke,Breaststroke,Men,200,2003_Nescac_Msd_Results,Bowdoin,"Namsoo, Lee",Prelim,181.05,3:01.05
2003,200_Breaststroke,Breaststroke,Men,200,2003_Nescac_Msd_Results,Colby,"DeSantis, Chris",Final,135.86,2:15.86
